序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,838810,春光智能,21.16,29.98,4.88,137108.0,263102140.79,31.7,21.16,16.0,16.49,16.28,4.01,30.76,121.62,6.28,1449460000.0,943245469.0,0.0,0.0,157.42,144.91
2,870199,倍益康,29.19,29.96,6.73,86980.0,235830839.18,27.25,29.19,23.07,23.07,22.46,5.88,23.38,-305.16,3.82,1988125062.0,1085911639.0,0.0,0.0,44.5,48.85
3,301387,光大同创,40.36,20.01,6.73,111781.0,429751951.6,18.32,40.36,34.2,34.2,33.63,5.05,26.36,60.49,2.62,4297976760.0,1711295965.0,0.0,0.0,33.47,17.67
4,688667,菱电电控,54.9,20.0,9.15,23643.0,125597991.0,16.07,54.9,47.55,47.55,45.75,7.54,4.56,40.69,1.73,2844486486.0,2844486486.0,0.0,0.0,35.25,36.6
5,301008,宏昌科技,27.54,20.0,4.59,123597.0,320378402.25,18.61,27.54,23.27,23.27,22.95,3.49,12.68,64.99,2.81,3100641078.0,2684236278.0,0.0,0.0,43.36,46.26
6,300005,探路者,10.15,19.98,1.69,1658766.0,1646570092.59,13.59,10.15,9.0,9.0,8.46,2.7,18.78,45.46,4.24,8969577188.0,8965640003.0,0.0,0.0,50.37,44.79
7,688280,精进电动-UW,6.98,19.93,1.16,570565.0,377325774.0,15.46,6.98,6.08,6.2,5.82,6.26,10.96,21.23,6.55,4119747236.0,3633398132.0,0.0,0.0,54.77,59.0
8,300366,创意信息,7.16,19.93,1.19,526760.0,366306853.16,19.77,7.16,5.98,6.03,5.97,2.87,9.93,-18.3,2.44,4350245234.0,3798397828.0,0.0,0.0,-20.09,-23.01
9,430510,丰光精密,23.11,17.91,3.51,89873.0,199226415.08,18.72,23.6,19.93,19.99,19.6,2.25,9.47,-449.38,10.7,4257183899.0,2193302573.0,-0.26,0.78,34.28,39.98
10,300879,大叶股份,28.4,17.07,4.14,542562.0,1424030282.49,23.12,29.11,23.5,24.26,24.26,2.74,26.99,7.4,4.11,5748126857.0,5709207923.0,0.71,0.96,80.2,81.12
11,300125,*ST聆达,6.8,16.44,0.96,182169.0,116000360.84,16.78,6.86,5.88,5.9,5.84,1.02,6.86,-16.9,-3.22,1819679966.0,1805005994.0,0.0,1.49,23.64,3.34
12,688580,伟思医疗,51.38,16.38,7.23,80252.0,390144439.0,16.38,51.88,44.65,44.65,44.15,2.15,8.38,37.03,2.96,4920728777.0,4920728777.0,0.75,1.94,90.16,84.09
13,873833,美心翼申,21.8,16.08,3.02,80577.0,165686143.63,17.09,21.96,18.75,18.79,18.78,2.33,25.4,42.08,2.9,1795448000.0,691655881.0,-0.37,-0.46,94.64,91.23
14,688205,德科立,59.7,15.41,7.97,126839.0,719187239.0,17.78,60.49,51.29,52.2,51.73,2.53,18.69,124.11,3.19,7217301653.0,4050931142.0,0.3,0.22,-40.76,-34.4
15,688588,凌志软件,14.25,14.46,1.8,307628.0,429305150.0,12.45,14.54,12.99,13.0,12.45,6.16,7.69,21.75,4.33,5700142543.0,5700142543.0,-0.21,-0.07,2.67,3.26
16,830896,旺成科技,20.25,14.02,2.49,60099.0,116991152.42,18.86,21.07,17.72,18.17,17.76,2.54,13.54,37.25,4.79,2049790860.0,899136653.0,0.5,1.5,22.73,43.62
17,688411,海博思创,74.31,13.61,8.9,51088.0,370982251.0,15.29,75.88,65.88,65.88,65.41,2.21,14.33,35.18,3.29,13207127298.0,2649108772.0,-0.07,-0.21,16.47,283.44
18,688590,新致软件,22.52,13.39,2.66,168511.0,373771367.0,14.95,22.97,20.0,20.0,19.86,3.24,6.41,94.11,4.21,5920335677.0,5920335677.0,-0.27,-0.97,21.66,40.49
19,301550,斯菱股份,118.9,13.24,13.9,66738.0,757058619.65,18.35,122.88,103.61,105.55,105.0,1.33,9.93,70.38,7.34,13079000000.0,7991447350.0,-0.02,0.0,38.3,63.35
